Rank	State	Participation Rate	Combined	Critical Reading	Math	Writing
1	Illinois	0.05	1798	596	615	587
2	Iowa	0.03	1789	603	606	580
3	Wisconsin	0.04	1776	594	605	577
4	Minnesota	0.07	1771	592	606	573
5	South Dakota	0.03	1769	589	610	570
6	North Dakota	0.03	1766	588	610	568
7	Michigan	0.04	1763	586	603	574
8	Missouri	0.05	1756	589	592	575
9	Kansas	0.06	1739	584	594	561
10	Nebraska	0.05	1723	576	585	562
11	Kentucky	0.06	1720	579	575	566
12	Colorado	0.17	1718	575	581	562
13	Tennessee	0.1	1712	576	570	566
14	Wyoming	0.05	1695	567	579	549
15	Utah	0.06	1682	568	566	548
16	Arkansas	0.04	1680	565	566	549
17	Oklahoma	0.05	1680	568	566	546
18	Mississippi	0.04	1656	561	544	551
19	New Mexico	0.13	1625	550	546	529
20	Ohio	0.19	1620	543	552	525
21	Idaho	0.2	1613	547	541	525
22	Louisiana	0.09	1607	542	536	529
23	Alabama	0.08	1596	538	531	527
24	Montana	0.28	1583	536	536	511
25	New Hampshire	0.75	1556	521	525	510
26	Washington	0.58	1552	519	530	503
27	Massachusetts	0.89	1551	513	530	508
28	Vermont	0.69	1547	519	523	505
29	Oregon	0.57	1542	521	523	498
30	Arizona	0.27	1541	517	525	499
31	Connecticut	0.88	1528	506	512	510
32	Virginia	0.72	1517	510	512	495
33	West Virginia	0.17	1515	516	502	497
34	New Jersey	0.78	1511	495	517	499
35	Alaska	0.54	1504	512	507	485
36	California	0.55	1503	495	512	496
37	Maryland	0.74	1487	497	502	488
38	Pennsylvania	0.74	1472	491	501	480
39	Indiana	0.69	1470	493	501	476
40	North Carolina	0.68	1469	491	506	472
41	Rhode Island	0.69	1466	490	491	485
42	Florida	0.66	1460	492	492	476
43	New York	0.9	1458	483	500	475
44	Georgia	0.81	1452	488	489	475
45	Nevada	0.49	1450	491	493	466
46	Hawaii	0.66	1445	478	500	467
47	Texas	0.62	1434	474	499	461
48	South Carolina	0.73	1431	481	488	462
49	Maine	0.93	1394	470	472	452
50	District of Columbia	0.83	1382	466	460	456
51	Delaware	1	1362	456	462	444
